4,15
5,28558
6,17692
7,11976
8,8422
9,6109
10,4578
11,3395
12,2787
13,2189
14,1760
15,1493
16,1207
17,1050
18,888
19,754
20,658
21,547
22,518
23,414
24,358
25,361
26,304
27,257
28,231
29,216
30,226
31,199
32,162
33,162
34,139
35,113
36,116
37,122
38,113
39,98
40,81
41,80
42,78
43,62
44,57
45,77
46,41
47,59
48,38
49,61
50,44
51,36
52,40
53,38
54,42
55,38
56,24
57,26
58,36
59,31
60,26
61,19
62,14
63,32
64,20
65,21
66,13
67,18
68,23
69,20
70,14
71,13
72,18
73,11
74,17
75,16
76,13
77,19
78,10
79,17
80,10
81,13
82,12
83,16
84,5
85,11
86,14
87,11
88,12
89,12
90,12
91,8
92,7
93,9
94,9
95,11
96,4
97,8
98,5
99,6
100,6
101,5
102,4
103,3
104,4
105,3
106,6
108,5
109,3
110,7
111,1
112,5
113,5
114,1
115,1
116,2
117,4
118,4
119,5
120,5
121,3
122,3
123,1
124,4
125,4
126,4
127,4
128,3
129,4
130,1
131,5
133,1
134,1
135,3
137,3
138,1
139,1
140,3
142,3
144,3
145,3
146,1
147,1
151,1
153,1
155,2
156,3
157,1
158,2
160,1
161,2
162,1
164,5
168,1
169,1
170,1
171,1
172,3
173,3
174,2
175,1
177,1
179,2
181,2
182,1
183,2
184,3
185,2
186,2
188,1
189,2
190,1
191,1
193,1
195,2
198,1
201,1
204,2
205,1
208,1
210,1
211,1
213,2
214,1
215,2
217,1
219,3
222,3
223,1
227,1
229,1
231,1
233,2
238,1
246,2
247,1
248,1
251,3
255,2
256,1
258,1
262,1
267,1
270,1
274,1
275,1
279,1
282,1
285,1
296,1
300,1
301,1
303,1
305,1
310,1
312,1
317,1
327,1
330,1
351,1
356,1
368,1
369,1
370,1
371,1
382,1
396,1
403,1
434,1
478,2
485,1
491,1
501,1
539,1
562,1
593,1
614,1
689,1
954,1
999,1
1187,1
1833,1
2152,1
