4,19
5,28594
6,17855
7,11917
8,8176
9,6083
10,4584
11,3586
12,2743
13,2188
14,1771
15,1470
16,1235
17,1030
18,905
19,711
20,638
21,536
22,503
23,447
24,371
25,360
26,306
27,285
28,275
29,210
30,209
31,175
32,157
33,137
34,129
35,142
36,120
37,98
38,98
39,106
40,96
41,83
42,73
43,75
44,67
45,55
46,64
47,63
48,50
49,42
50,41
51,50
52,34
53,46
54,26
55,38
56,34
57,41
58,28
59,24
60,29
61,25
62,18
63,16
64,27
65,24
66,22
67,17
68,17
69,17
70,12
71,8
72,15
73,11
74,18
75,17
76,19
77,9
78,9
79,12
80,8
81,9
82,10
83,8
84,7
85,5
86,5
87,16
88,8
89,8
90,11
91,8
92,13
93,3
94,7
95,9
96,5
97,8
98,9
99,10
100,1
101,3
102,2
103,6
104,8
105,4
106,3
107,4
108,4
109,6
110,3
111,6
112,5
113,3
114,7
115,5
116,5
117,4
118,4
119,5
120,3
121,3
122,1
123,5
124,4
125,4
127,4
128,1
129,3
130,1
131,2
132,2
133,5
134,2
135,2
136,8
137,3
138,2
139,1
140,1
141,1
142,4
143,4
144,1
146,1
148,2
149,2
150,1
151,1
152,1
153,2
154,3
155,6
156,1
157,1
158,3
159,3
160,2
161,1
165,1
166,2
167,1
171,3
172,1
173,1
175,1
176,1
177,1
178,1
181,1
182,2
183,1
186,2
190,1
192,2
196,2
197,1
198,1
200,1
202,1
204,1
207,2
212,2
213,1
214,2
218,1
220,1
221,2
224,1
228,1
230,2
234,1
239,1
243,1
245,1
250,2
252,1
253,1
254,2
255,2
256,1
257,1
263,1
266,1
269,1
277,2
281,1
288,2
295,1
297,1
299,1
302,3
306,1
309,1
315,1
316,1
320,1
331,1
332,2
340,1
348,1
361,1
367,1
379,2
398,1
399,1
405,1
413,1
497,1
509,1
514,1
531,1
535,1
539,1
540,1
575,1
675,1
681,1
682,1
877,1
918,1
930,1
961,1
1011,1
2331,1
